rank,pair_key,prototype_object_family,prototype_route_label,prototype_shortlist_status,prototype_display_title,prototype_display_why,prototype_display_first_step,prototype_primary_mediators,prototype_source_title,source_node,target_node,score,supporting_path_count,mediator_count,motif_count,public_specificity_score,question_family,app_link,audit_decision,audit_main_reason,audit_better_formulation,audit_deterministic_implication
104,FG3C000015__FG3C001866,path_question,promote_path_question,promote,Through which nearby pathways might foreign direct investments shape output per worker?,"Nearby papers already suggest routes through energy consumption, total factor productivity (TFP), and financial development.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['energy consumption', 'total factor productivity (TFP)', 'financial development']",How might foreign direct investments change output per worker?,foreign direct investments,output per worker,0.093945,7,7,5,0.8117,foreign-direct-investments-output-per-worker,/questions/#FG3C000015__FG3C001866,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
105,FG3C000705__FG3C004458,path_question,downrank_path_question,downrank,Through which nearby pathways might high-frequency trading shape herding behavior?,"Nearby papers already suggest routes through liquidity, volatility, and stock liquidity.",Treat this as a lower-priority path question unless stronger local support appears.,"['liquidity', 'volatility', 'stock liquidity']",How might high-frequency trading change herding behavior?,high-frequency trading,herding behavior,0.093865,4,4,4,4.0013,high-frequency-trading-herding-behavior,/questions/#FG3C000705__FG3C004458,downrank,not_paper_shaped,reframe_as_path_question,require_more_path_support
106,FG3C000797__FG3C002438,path_question,promote_path_question,promote,Through which nearby pathways might Special economic zones shape green total factor productivity?,"Nearby papers already suggest routes through technological progress, technological innovation, and green finance.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['technological progress', 'technological innovation', 'green finance']",How might Special economic zones change green total factor productivity?,Special economic zones,green total factor productivity,0.093738,4,4,4,6.5023,special-economic-zones-green-total-factor-productivity,/questions/#FG3C000797__FG3C002438,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
107,FG3C000009__FG3C004663,path_question,promote_path_question,promote,Through which nearby pathways might TVP-SV-VAR model shape unemployment?,"Nearby papers already suggest routes through land prices, oil prices, and implied volatility.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['land prices', 'oil prices', 'implied volatility']",How might TVP-SV-VAR model change unemployment?,TVP-SV-VAR model,unemployment,0.093703,4,4,4,4.0012,tvp-sv-var-model-unemployment,/questions/#FG3C000009__FG3C004663,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
108,FG3C000042__FG3C002623,path_question,promote_path_question,promote,Through which nearby pathways might U.S. economic policy uncertainty shape trading volume?,"Nearby papers already suggest routes through volatility connectedness, natural gas price volatility, and market returns.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['volatility connectedness', 'natural gas price volatility', 'market returns']",How might U.S. economic policy uncertainty change trading volume?,U.S. economic policy uncertainty,trading volume,0.093573,4,4,4,4.0016,u-s-economic-policy-uncertainty-trading-volume,/questions/#FG3C000042__FG3C002623,keep,promising_as_is,reframe_as_path_question,add_path_level_candidate_object
109,FG3C000015__FG3C000753,path_question,promote_path_question,promote,Through which nearby pathways might high-speed rail shape foreign direct investments?,"Nearby papers already suggest routes through technological innovation, financial development, and structure effect.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['technological innovation', 'financial development', 'structure effect']",How might high-speed rail change foreign direct investments?,high-speed rail,foreign direct investments,0.093561,7,7,6,0.8027,high-speed-rail-foreign-direct-investments,/questions/#FG3C000015__FG3C000753,keep,promising_as_is,reframe_as_path_question,add_path_level_candidate_object
110,FG3C002438__FG3C004143,mediator_question,promote_mediator_question,promote,Which nearby mechanisms most plausibly link Special economic zones to industrial transformation?,"The main open question is which channel does the work: technological innovation, foreign investment, and eastern regions.",Start by testing which nearby channel carries the effect.,"['technological innovation', 'foreign investment', 'eastern regions']",How might Special economic zones change industrial transformation?,Special economic zones,industrial transformation,0.093466,4,4,4,4.0011,special-economic-zones-industrial-transformation,/questions/#FG3C002438__FG3C004143,keep,should_be_path_level_not_direct_edge,reframe_as_mediator_question,add_mediator_expansion_object
111,FG3C000005__FG3C001741,path_question,promote_path_question,promote,Through which nearby pathways might COVID-19 pandemic shape green technology innovations?,"Nearby papers already suggest routes through economic policy uncertainty (EPU), regional characteristics, and environmental quality.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['economic policy uncertainty (EPU)', 'regional characteristics', 'environmental quality']",How might COVID-19 pandemic change green technology innovations?,COVID-19 pandemic,green technology innovations,0.093298,4,4,3,6.5051,covid-19-pandemic-green-technology-innovations,/questions/#FG3C000005__FG3C001741,keep,already_saturated,reframe_as_path_question,add_path_level_candidate_object
112,FG3C000109__FG3C003532,path_question,downrank_path_question,downrank,Through which nearby pathways might Preferred provider organizations (PPOs) shape quality of care?,"Nearby papers already suggest routes through managed care, utilization, and drug shortages.",Treat this as a lower-priority path question unless stronger local support appears.,"['managed care', 'utilization', 'drug shortages']",How might Preferred provider organizations (PPOs) change quality of care?,Preferred provider organizations (PPOs),quality of care,0.093029,6,6,6,0.2019,preferred-provider-organizations-quality-of-care,/questions/#FG3C000109__FG3C003532,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
113,FG3C000061__FG3C005708,path_question,promote_path_question,promote,Through which nearby pathways might intellectual property rights (IPR) protection shape total factor productivity (TFP)?,"Nearby papers already suggest routes through foreign direct investments, foreign direct investment (FDI) flows, and innovation output.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['foreign direct investments', 'foreign direct investment (FDI) flows', 'innovation output']",How might intellectual property rights (IPR) protection change total factor productivity (TFP)?,intellectual property rights (IPR) protection,total factor productivity (TFP),0.0928,6,6,6,7.702,intellectual-property-rights-protection-total-factor-productivity,/questions/#FG3C000061__FG3C005708,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
114,FG3C000515__FG3C005535,path_question,promote_path_question,promote,Through which nearby pathways might ESG investments shape sustainable development goals?,"Nearby papers already suggest routes through environmental sustainability, green finance, and business performance.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['environmental sustainability', 'green finance', 'business performance']",How might ESG investments change sustainable development goals?,ESG investments,sustainable development goals,0.09279,3,3,3,3.4011,esg-investments-sustainable-development-goals,/questions/#FG3C000515__FG3C005535,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
115,FG3C000371__FG3C005928,path_question,promote_path_question,promote,Through which nearby pathways might negative news sentiment shape price discovery?,"Nearby papers already suggest routes through liquidity, bid-ask spread, and volatility.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['liquidity', 'bid-ask spread', 'volatility']",How might negative news sentiment change price discovery?,negative news sentiment,price discovery,0.092776,3,3,3,3.4014,negative-news-sentiment-price-discovery,/questions/#FG3C000371__FG3C005928,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
116,FG3C000309__FG3C004045,path_question,promote_path_question,promote,Through which nearby pathways might Massachusetts health care reform shape length of stay?,"Nearby papers already suggest routes through access to primary care, hospitals, and state Medicaid expansion status.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['access to primary care', 'hospitals', 'state Medicaid expansion status']",How might Massachusetts health care reform change length of stay?,Massachusetts health care reform,length of stay,0.089686,5,5,5,7.1017,massachusetts-health-care-reform-length-of-stay,/questions/#FG3C000309__FG3C004045,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
117,FG3C004045__FG3C005027,path_question,promote_path_question,promote,Through which nearby pathways might Massachusetts health care reform shape hospitalization rates?,"Nearby papers already suggest routes through access to care, access to medical care, and access to primary care.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['access to care', 'access to medical care', 'access to primary care']",How might Massachusetts health care reform change hospitalization rates?,Massachusetts health care reform,hospitalization rates,0.086939,5,5,5,4.602,massachusetts-health-care-reform-hospitalization-rates,/questions/#FG3C004045__FG3C005027,keep,should_be_path_level_not_direct_edge,reframe_as_path_question,add_path_level_candidate_object
118,FG3C000264__FG3C004045,path_question,promote_path_question,promote,Through which nearby pathways might Massachusetts health care reform shape mortality?,"Nearby papers already suggest routes through health insurance coverage, blood pressure control, and cervical cancer screening.",Start with a short synthesis or pilot that follows the nearest mediating topics.,"['health insurance coverage', 'blood pressure control', 'cervical cancer screening']",How might Massachusetts health care reform change mortality?,Massachusetts health care reform,mortality,0.079926,6,6,6,5.2021,massachusetts-health-care-reform-mortality,/questions/#FG3C000264__FG3C004045,keep,requires_new_node_or_new_concept,reframe_as_path_question,require_more_path_support
119,FG3C000843__FG3C002591,path_question,downrank_path_question,downrank,Through which nearby pathways might health maintenance organization (HMO) shape 30-day mortality?,"Nearby papers already suggest routes through Academic medical centers, quality of care, and hospitalizations.",Treat this as a lower-priority path question unless stronger local support appears.,"['Academic medical centers', 'quality of care', 'hospitalizations']",How might health maintenance organization (HMO) change 30-day mortality?,health maintenance organization (HMO),30-day mortality,0.0789,4,4,4,6.5032,health-maintenance-organization-30-day-mortality,/questions/#FG3C000843__FG3C002591,downrank,should_be_path_level_not_direct_edge,reframe_as_path_question,require_more_path_support
120,FG3C000100__FG3C003563,mediator_question,promote_mediator_question,promote,Which nearby mechanisms most plausibly link investor sentiment to firm investment decisions?,"The main open question is which channel does the work: stocks, equity returns, and discount rates.",Start by testing which nearby channel carries the effect.,"['stocks', 'equity returns', 'discount rates']",How might investor sentiment change firm investment decisions?,investor sentiment,firm investment decisions,0.078719,4,4,4,4.0012,investor-sentiment-firm-investment-decisions,/questions/#FG3C000100__FG3C003563,keep,should_be_mediator_expansion,reframe_as_mediator_question,add_mediator_expansion_object
